eventDate,location,tubeNumber,macroMoths,microMoths,countedBy
3/10/2019,AUCA,,7,25,AF
3/10/2019,BACA,,3,34,FM
3/10/2019,BIVA,,4,189,FM
3/10/2019,BOWA,,17,166,MB
3/10/2019,COFR,,5,41,AT
3/10/2019,JOMA,,1,14,FM
3/10/2019,PRCR,,9,309,FM
3/10/2019,RIST,,29,215,MB
3/11/2019,BACA,,1,17,MB
3/11/2019,COFR,,30,119,MB
3/16/2019,AUCA,,32,79,EM
3/16/2019,BACA,,1,143,FM
3/16/2019,COFR,,2,33,FM
3/16/2019,JOMA,,2,74,ES
3/16/2019,PRCR,2-Jan,25,135,FM
3/16/2019,PRCR,2-Feb,25,111,CK
3/16/2019,RIST,2-Feb,41,155,CK
3/16/2019,RIST,,12,137,MB
3/24/2019,AUCA,,24,59,AT
3/24/2019,BACA,,3,22,AF
3/24/2019,BIVA,,5,32,AF
3/24/2019,BOWA,,16,96,ES
3/24/2019,COFR,,6,35,CK
3/24/2019,DEMI,,8,16,MB
3/24/2019,JOMA,,3,35,FM
3/24/2019,PRCR,,8,82,MB
3/24/2019,RIST,,25,64,MB
3/31/2019,AUCA,,1,176,MB
3/31/2019,BACA,,0,61,AT
3/31/2019,BACA,,1,32,AS
3/31/2019,BIVA,,7,105,CK
3/31/2019,BOWA,,18,348,CK
3/31/2019,COFR,,21,35,AS
3/31/2019,DEMI,,10,6,AS
3/31/2019,JOMA,,5,101,KS
3/31/2019,PRCR,2-Jan,29,70,AS
3/31/2019,PRCR,2-Feb,21,56,CK
3/31/2019,RIST,,21,176,CK
4/7/2019,AUCA,,9,194,FM
4/7/2019,AUCA,,31,148,MB
4/7/2019,BACA,,2,63,FM
4/7/2019,BIVA,,26,155,AS
4/7/2019,BOWA,,12,349,MB
4/7/2019,COFR,,3,16,CK
4/7/2019,JOMA,,4,112,MB
4/7/2019,PRCR,2-Feb,29,78,MB
4/7/2019,PRCR,2-Jan,34,147,CK
4/7/2019,RIST,2-Jan,17,83,AS
4/7/2019,RIST,2-Feb,17,189,MB
4/14/2019,AUCA,2-Feb,9,41,AS
4/14/2019,AUCA,2-Jan,12,120,AS
4/14/2019,BACA,,2,7,KS
4/14/2019,BIVA,,32,223,AS
4/14/2019,BOWA,2-Jan,15,104,AF
4/14/2019,BOWA,2-Feb,23,290,MB
4/14/2019,DEMI,,12,22,CK
4/14/2019,JOMA,,4,145,CK
4/14/2019,PRCR,2-Jan,32,144,AS
4/14/2019,PRCR,2-Feb,19,203,AF
4/14/2019,RIST,2-Feb,4,124,CK
4/14/2019,RIST,2-Jan,4,135,MB
4/19/2019,COFR,,21,38,CK
4/19/2019,DEMI,,18,59,MB
4/21/2019,AUCA,,7,45,FM
4/21/2019,BACA,,0,10,FM
4/21/2019,BIVA,,9,5,AT
4/21/2019,BOWA,,35,56,AS
4/21/2019,COFR,,8,19,FM
4/21/2019,DEMI,,1,15,FM
4/21/2019,JOMA,,7,10,CK
4/21/2019,PRCR,,5,20,CK
4/21/2019,RIST,,2,25,FM
4/28/2019,AUCA,,47,67,AS
