"doy","fit","se","Site","validName"
69,0.0592487625464141,0.0863819644573806,"Prcr","Lochmaeus manteo"
70,0.0606627876282734,0.0872948689827237,"Prcr","Lochmaeus manteo"
71,0.0621103417440047,0.0882090168375061,"Prcr","Lochmaeus manteo"
72,0.0635919915460231,0.0891242957293432,"Prcr","Lochmaeus manteo"
73,0.0651083008781555,0.0900406188360431,"Prcr","Lochmaeus manteo"
74,0.0666598299562906,0.0909579272372269,"Prcr","Lochmaeus manteo"
75,0.0682471345097346,0.0918761924002046,"Prcr","Lochmaeus manteo"
76,0.0698707648826127,0.0927954187083005,"Prcr","Lochmaeus manteo"
77,0.0715312650947149,0.09371564601793,"Prcr","Lochmaeus manteo"
78,0.0732291718612431,0.0946369522287114,"Prcr","Lochmaeus manteo"
79,0.0749650135709795,0.0955594558487375,"Prcr","Lochmaeus manteo"
80,0.0767393092224709,0.0964833185348665,"Prcr","Lochmaeus manteo"
81,0.078552567317893,0.0974087475855022,"Prcr","Lochmaeus manteo"
82,0.0804052847143485,0.0983359983608721,"Prcr","Lochmaeus manteo"
83,0.0822979454324386,0.0992653766032689,"Prcr","Lochmaeus manteo"
84,0.0842310194220393,0.100197240627148,"Prcr","Lochmaeus manteo"
85,0.0862049612853217,0.101132003346395,"Prcr","Lochmaeus manteo"
86,0.0882202089571607,0.102070134103542,"Prcr","Lochmaeus manteo"
87,0.0902771823431882,0.103012160263254,"Prcr","Lochmaeus manteo"
88,0.0923762819158767,0.10395866853014,"Prcr","Lochmaeus manteo"
89,0.0945178872691587,0.104910305948799,"Prcr","Lochmaeus manteo"
90,0.0967023556322315,0.105867780542307,"Prcr","Lochmaeus manteo"
91,0.0989300203433314,0.106831861543837,"Prcr","Lochmaeus manteo"
92,0.101201189284419,0.107803379175212,"Prcr","Lochmaeus manteo"
93,0.103516143277864,0.108783223925753,"Prcr","Lochmaeus manteo"
94,0.105875134446393,0.109772345285021,"Prcr","Lochmaeus manteo"
95,0.108278384537721,0.110771749884059,"Prcr","Lochmaeus manteo"
96,0.110726083215475,0.111782499001549,"Prcr","Lochmaeus manteo"
97,0.113218386318186,0.112805705394079,"Prcr","Lochmaeus manteo"
98,0.115755414088339,0.113842529413482,"Prcr","Lochmaeus manteo"
99,0.118337249373637,0.114894174379048,"Prcr","Lochmaeus manteo"
100,0.120963935802859,0.115961881178404,"Prcr","Lochmaeus manteo"
101,0.123635475938876,0.117046922077955,"Prcr","Lochmaeus manteo"
102,0.126351829411628,0.118150593732044,"Prcr","Lochmaeus manteo"
