"Site","peak1","se1","peak2","se2"
"AUCA",157,52.8887837438092,201,38.9864451465055
"BACA",106,8.60881355155365,203,8.89734805073732
"BIVA",122,28.2144064362742,271,13.0875100574931
"BOWA",124,42.4328084951392,259,19.2070717563863
"COFR",130,19.3368378142433,275,12.1405619751509
"DEMI",154,14.067529289972,272,10.3587642681048
"JOMA",136,48.9438551492673,273,8.84684456059274
"PRCR",117,44.7148429677903,266,35.1329902397774
"RIST",136,65.1668061513294,261,41.2484070041128
