"Site","peak","se"
"AUCA",170,3.35603916464533
"BACA",109,0.835892444060403
"BIVA",120,3.18211818401638
"BOWA",136,2.83842773065354
"COFR",152,3.65115218659865
"DEMI",191,2.47195506947821
"JOMA",158,2.15024967142115
"PRCR",149,4.32676829662621
"RIST",142,3.17747447731056
