"Site","peak2","se2","peak1","se1"
"AUCA",241,0.161073521447035,105,0.176283993996647
"BACA",226,0.1824914671123,110,0.184761264327104
"BIVA",222,0.162180606749599,108,0.161864042458125
"BOWA",214,0.16456967769958,95,0.17374314563209
"COFR",225,0.144763318360291,110,0.147750649315364
"DEMI",223,0.159020882608332,NA,NA
"JOMA",220,0.153098737035486,113,0.157107256440993
"PRCR",221,0.153298965149517,112,0.15279210971722
"RIST",263,0.145971640282133,NA,NA
