"Site","peak","se"
"AUCA",168,10.2972668188079
"BACA",108,0.875287757849609
"BIVA",120,6.58944042040894
"BOWA",146,5.51680337504293
"COFR",161,5.90081729236787
"DEMI",184,3.71353784296201
"JOMA",174,3.75138661311183
"PRCR",161,14.3940156775481
"RIST",145,6.49987165752463
