"Site","peak1","se1","peak2","se2"
"AUCA",140,7.68674067329635,201,5.33867892245709
"BACA",102,3.26890319004135,221,2.83888710733205
"BIVA",130,5.65472869540985,273,3.9528536278261
"BOWA",103,9.71600418111705,256,4.89223089727294
"COFR",133,8.00392875790425,271,5.05247405492095
"DEMI",149,3.34204821390559,271,2.97532527904377
"JOMA",136,9.31836689761273,274,2.9084169291875
"PRCR",109,7.68344079042379,268,7.08717431457383
"RIST",134,7.00316220615463,261,5.77936453103729
