"SiteSpp"
"Auca_Acrolophus heppneri"
"Auca_Acrolophus plumifrontella"
"Auca_Allotria elonympha"
"Auca_Anavitrinella pampinaria"
"Auca_Apantesis vittata"
"Auca_Automeris io"
"Auca_Costaconvexa centrostrigaria"
"Auca_Epimecis hortaria"
"Auca_Euchlaena amoenaria"
"Auca_Euchlaena obtusaria"
"Auca_Halysidota tessellaris"
"Auca_Herpetogramma fluctuosalis"
"Auca_Heterocampa obliqua"
"Auca_Hypomecis umbrosaria"
"Auca_Idia aemula"
"Auca_Lapara coniferarum"
"Auca_Lochmaeus manteo"
"Auca_Megalopyge opercularis"
"Auca_Metarranthis homuraria"
"Auca_Nadata gibbosa"
"Auca_Patalene olyzonaria"
"Auca_Peridea angulosa"
"Auca_Polygrammate hebraeicum"
"Auca_Schizura ipomoeae"
"Auca_Scolecocampa liburna"
"Auca_Stenaspilatodes antidiscaria"
"Auca_Xestia dilucida"
"Biva_Apantesis vittata"
"Biva_Dasychira tephra"
"Biva_Disclisioprocta stellata"
"Biva_Epimecis hortaria"
"Biva_Eulithis diversilineata"
"Biva_Eusarca confusaria"
"Biva_Eutrapela clemataria"
"Biva_Halysidota tessellaris"
"Biva_Idia rotundalis"
"Biva_Iridopsis defectaria"
"Biva_Megalopyge opercularis"
"Biva_Nadata gibbosa"
"Biva_Schizura ipomoeae"
"Biva_Scolecocampa liburna"
"Biva_Tetanolita mynesalis"
"Bowa_Acrolophus arcanella"
"Bowa_Acrolophus plumifrontella"
"Bowa_Anavitrinella pampinaria"
"Bowa_Apantesis vittata"
"Bowa_Epimecis hortaria"
"Bowa_Euchlaena deplanaria"
"Bowa_Eulithis diversilineata"
"Bowa_Eusarca confusaria"
"Bowa_Eutrapela clemataria"
"Bowa_Heterocampa obliqua"
"Bowa_Hypenula cacuminalis"
"Bowa_Idia aemula"
"Bowa_Megalopyge opercularis"
"Bowa_Nadata gibbosa"
"Bowa_Peridea angulosa"
"Bowa_Plusiodonta compressipalpis"
"Bowa_Scolecocampa liburna"
"Cofr_Acrolophus arcanella"
"Cofr_Acrolophus plumifrontella"
"Cofr_Anavitrinella pampinaria"
"Cofr_Apantesis phalerata"
"Cofr_Euchlaena amoenaria"
"Cofr_Halysidota tessellaris"
"Cofr_Heterocampa obliqua"
"Cofr_Hypenula cacuminalis"
"Cofr_Iridopsis defectaria"
"Cofr_Nadata gibbosa"
"Cofr_Nematocampa resistaria"
"Cofr_Phoberia atomaris"
"Cofr_Schizura ipomoeae"
"Cofr_Scolecocampa liburna"
"Cofr_Tetanolita mynesalis"
"Demi_Acrolophus arcanella"
"Demi_Acrolophus plumifrontella"
"Demi_Anavitrinella pampinaria"
"Demi_Costaconvexa centrostrigaria"
"Demi_Epimecis hortaria"
"Demi_Eutrapela clemataria"
"Demi_Halysidota tessellaris"
"Demi_Heterocampa obliqua"
"Demi_Hypena palparia"
"Demi_Hypomecis umbrosaria"
"Demi_Iridopsis defectaria"
"Demi_Nadata gibbosa"
"Demi_Orgyia leucostigma"
"Demi_Phoberia atomaris"
"Demi_Schizura ipomoeae"
"Demi_Scolecocampa liburna"
"Joma_Eutrapela clemataria"
"Joma_Halysidota tessellaris"
"Joma_Heterocampa obliqua"
"Joma_Hypenula cacuminalis"
"Joma_Megalopyge opercularis"
"Joma_Schizura ipomoeae"
"Joma_Scolecocampa liburna"
"Prcr_Anavitrinella pampinaria"
"Prcr_Apantesis nais"
"Prcr_Apantesis phalerata"
"Prcr_Apantesis vittata"
"Prcr_Automeris io"
"Prcr_Catocala similis"
"Prcr_Eacles imperialis"
"Prcr_Eusarca confusaria"
"Prcr_Eutrapela clemataria"
"Prcr_Halysidota tessellaris"
"Prcr_Herpetogramma fluctuosalis"
"Prcr_Heterocampa obliqua"
"Prcr_Homophoberia apicosa"
"Prcr_Hypomecis umbrosaria"
"Prcr_Leucanopsis longa"
"Prcr_Lochmaeus manteo"
"Prcr_Megalopyge opercularis"
"Prcr_Nadata gibbosa"
"Prcr_Orgyia detrita"
"Prcr_Orgyia leucostigma"
"Prcr_Panopoda repanda"
"Prcr_Patalene olyzonaria"
"Prcr_Phoberia atomaris"
"Prcr_Schizura ipomoeae"
"Prcr_Scolecocampa liburna"
"Rist_Acrolophus arcanella"
"Rist_Acrolophus heppneri"
"Rist_Anavitrinella pampinaria"
"Rist_Apantesis phalerata"
"Rist_Apantesis vittata"
"Rist_Dasychira tephra"
"Rist_Halysidota tessellaris"
"Rist_Heterocampa obliqua"
"Rist_Lapara coniferarum"
"Rist_Lochmaeus manteo"
"Rist_Megalopyge lacyi"
"Rist_Megalopyge opercularis"
"Rist_Nadata gibbosa"
"Rist_Omphalocera munroei"
"Rist_Panopoda repanda"
"Rist_Peridea angulosa"
"Rist_Schizura ipomoeae"
"Rist_Scolecocampa liburna"
